prediction,adjustment
0.025,0.12264800292240964
0.07500000000000001,0.10401118147618711
0.12500000000000003,0.0898202858612797
0.17500000000000002,0.08031414273319287
0.225,0.0749825205465132
0.27499999999999997,0.0750670538948029
0.325,0.08041402988728817
0.375,0.08807215530494532
0.425,0.10047143082979726
0.475,0.11290834087846144
0.525,0.12331059327311812
0.5750000000000001,0.13363477204697807
0.6250000000000001,0.136272623899455
0.675,0.1286848751409623
0.7250000000000001,0.11501606216095164
0.775,0.0960467453854252
0.8250000000000001,0.07107962132037067
0.8750000000000001,0.040315355903737915
0.925,0.0038768574110801778
0.975,-0.0383112975640365
